question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type
Emile Durkheim is linked with work on which of the following conditions in psychiatry?,Emile Durkheim studied extensively the social factors associated with suicide.,1,Suicide,Obsessive compulsive disorder,Anxiety disorder,Schizophrenia,Psychiatry,Mood Disorders,8647fe01-8718-4446-b8cf-c9fc122f1ca4,single
"Drug of choice for ""Premenstrual Dysphoric Disorder"" is:","SSRIs are considered as DOC for premenstrual dysphoric disorder Premenstrual dysphoric disorder (PMDD)Symptoms of mood lability, dysthymia, and anxiety occurring in the week preceding menses and minimal or absent in the week postmenses.",4,Benzodiazepines,TCAs,Progesterone,SSRIs,Psychiatry,Mood Disorders,f5b12e56-0b67-46d0-820e-d72da59ef717,single
extinction was given by,"Behavioral therapy is learning given by BF Skinner , according to him all behaviors are learned phenomenon and thus can be unlearned Positive reinforcement a type of reinforcement when a behavior is rewarded there is more chance that the behavior is repeated Negative reinforcement is that when a behavior is done and an aversive response is removed, the behavior is repeated. When I go and meet my girlfriend, she checks my messages and picks up fight (aversive response) suddenly I delete all messages one day and that day there was no fight (no aversive response) then that behavior is repeated (delete all messages before meeting my girlfriend) Extinction is the type of reinforcement where a behavior is done and a rewarding response is removed the chance is that behavior will not be repeated A child likes to play with children( reward) but when the child fights with other children( undesirable behavior) the child will be removed from playing( removing a reward) , then the child stops fighting with other children( reduction of undesirable behaviour) Ref. kaplon and sadock synopsis, 11 th edition, pg no. 845",4,morel,bleuler,schneider,skinner,Psychiatry,Treatment in psychiatry,6592cc6d-47f6-4a5a-b779-8247ef508b1d,single
Depression in elderly is treated with?,"Ans. c. Fluoxetine. (Ref. Psychiatry by Niraj Ahuja, 5th ed., 78)Newer anti-depressants like SSRI (fluxetine, sertraline, citalopram, mitrazepam, and venlafexine) have very little cholinergic effects, side effects and hence safer drugs to use in elderly, especially with heart diseases and BMP. Educational points: Grief ""Bereavement""Depression ""Pathological Grief""Definition- Sadness & Tearfullness- |sleep, Appetite & Interest- Sadness& Tearfulness- |sleep, Appetite & InterestSymptoms- Wax & Wane- Shame & guilt less common- Threaten suicide less often- Symptoms can last < one year- Usually return to baseline level of Functioning within 2 months- Pervasive & Unremitting- Shame & guilt are common- Threaten suicide more often- Symptoms continue > one year- Patients do not return to baseline level of functioningTreatmentSupportive PsychotherapyAntidepressant (5SRI) Post partum Blues""Baby Blues""Post partumDepressionPostpartumPsychosisOccur afterAny babyThe 2nd babyThe 1st babyBegins after birthUp to 2 weeksWithin 1 monthWilthin 1 monthThoughts of hurting the babyNo. Mother cares about the babyYesYesSymptomsMild depressionSevere DepressionSevere Depression & Psychotic symptomsTreatmentNo Treatment necessaryAntidepressantsAntidepressants & Mood Stabilizers or Antipsychotics",3,Imipramine,Dothiepin,Fluoxetine,Mianserine,Psychiatry,Mood Disorders,8ea0b3d1-8a63-4b1a-b91e-109daf355576,single
Alexithymia is:,"D ref: Ahuja, 4th/e p. 13 and 5th/e p. 252",4,A feeling of intense rapture,Pathological sadness,Affective flattening,Inability to recognise and describe feelings,Psychiatry,Mood Disorders,1ff50b53-5854-40ad-9ddc-3b9710535484,single
Which of the following is not a feature of depression:,"Hyperactivity is not a common symptom of depression. Symptoms of Depression: SWAG (suicidality, weight loss, anhedonia, guilt) symptom Sadness, hopelessness, helplessness, low self-esteem Reduced energy and motivation Anxiety Sleep problems (wakes frequently at night and too early in the morning) Cognitive problems (has difficulty with memory and concentration) Change in physical activity (has psycho-motor retardation or agitation) Decreased or increased (in atypical depression) appetite for food and sex Poor grooming Diurnal variation in symptoms (worse in the morning, better in the evening) Suicidal ideation Suicide Psychotic symptoms",3,Depressed mood,Loss of appetite,Hyperactivity,Suicidal ideas,Psychiatry,Mood Disorders,fd903ddd-cdab-4632-ad74-881b673763cd,single
negative reinforcrmrnt was given by,"Behavioral therapy is learning given by BF Skinner , according to him all behaviors are learned phenomenon and thus can be unlearned Positive reinforcement a type of reinforcement when a behavior is rewarded there is more chance that the behavior is repeated Negative reinforcement is that when a behavior is done and an aversive response is removed, the behavior is repeated. When I go and meet my girlfriend, she checks my messages and picks up fight (aversive response) suddenly I delete all messages one day and that day there was no fight (no aversive response) then that behavior is repeated (delete all messages before meeting my girlfriend) Extinction is the type of reinforcement where a behavior is done and a rewarding response is removed the chance is that behavior will not be repeated A child likes to play with children( reward) but when the child fights with other children( undesirable behavior) the child will be removed from playing( removing a reward) , then the child stops fighting with other children( reduction of undesirable behaviour) Ref. kaplon and sadock synopsis, 11 th edition, pg no. 845",2,jean piaget,B F Skinner,braid,mary ainswoh,Psychiatry,Treatment in psychiatry,04603f1c-2864-48b9-a387-814c15fd3a51,single
ECT is most effective in:,"Ans: b (Severe depression) Ref: Ahuja, 6th ed, p. 213; Kaplan & Sadock, 8th ed, p. 2968ECT is the most effective treatment for major depression currently available. Major severe depression with suicidal risk is the first and most important indication for ECT. Mania is mainly treated with mood stabilizers e.g lithiumIndications of ECTContraindications* Severe schizophrenia not responding to treatmentAbsolute* Catatonic stuporRaised intracranial tension* Catatonic excitementRelative* Psychosis not responding to treatment1. Recent myocardial infarction* Severe depression with suicidal tendency2. Severe hypertension* Severe depression with somatic syndrome3. Cerebrovascular accident* Delusional depression4. Severe pulmonary disease* Acute mania5. Retinal detachment 6. Pheochromocytoma",2,Conversion disorder,Severe depression,Mania,Dissociative disorder,Psychiatry,Treatment,6ffe9c53-b1ef-403f-85fb-b2b79aa0a10e,single
Which of the following is an atypical antidepressant-,"Ans. is 'c' i.e., Venlafaxine AntidepressantsTypicalTricyclic antidepressantsNA + 5HT reuptake inhibitors :- Imipramine, Trimipramine, Amitriptyline, Clomipramine.Predominantly NA reuptake inhibitors :- Desipramine, Nortriptyline, Amoxapine, Reboxetine. Selective serotonin reuptake inhibitors :- Fluoxetine, Paroxetine, Sertaline, Citalopram, Scitalopram.Atypical :- Trazodone, Mianserine, Mitrazapine, Venalafaxin, Duloxetine, Tianeptine, Amineptine, Bupropion.MAO inhibitors :-Tranylcypramine, Meclobemide, Clorgyline.",3,Citalopram,Sertaline,Venlafaxine,Reboxetin,Psychiatry,Major Depression,ae313b0c-fa23-484b-8f09-7c558a7d9c44,single
Haloperidol induced extarpyramidal side effects are treated by -,"Ans is 'c' i.e. Anticholinergic drugs o Extrapyramidal symptoms (EPS), also known as extrapyramidal side effects (EPSE), are drug-induced movement disorders that include acute and tardive symptoms. These symptoms include dystonia (continuous spasms and muscle contractions), akathisia (motor restlessness), parkinsonism (characteristic symptoms such as rigidity), bradvkinesia (slowness of movement), and tremor, and tardive dyskinesia (irregular, jerky movements)o Anticholinergic drugs are used to control neuroleptic-induced EPS, although akathisia may require beta blockers or even benzodiazepines.o Commonly used medications for EPS are anticholinergic agents such as Benztropine, Diphenhydramine and trihexyphenidyl . Another common course of treatment includes dopamine agonist agents such as pramipexole.",3,Benzodiazepines,Barbiturates,Anticholinergic drugs,SSRIs,Psychiatry,Treatment,8c314bae-7603-4a39-b153-f8f3990050c7,single
"In OCD, if patient tries to resist obsession, then patient develops?","Ans. is 'c' i.e. Anxiety * OCD is an anxiety disorder which is characterized by recurrent, unwanted thoughts (Obsessions) and repetitive behaviors (compulsions).* Patient tries to resist against it but is unable to do so which leads to marked distress or anxiety.Obsessive compulsive disorder (PCD)* OCD is an anxiety disorder which is characterized by recurrent, unwanted thoughts (Obsessions) and repetitive behaviors (compulsions).* An obsession has following characteristic : -i) An idea, impulse or image which intrudes into the conscious awareness repeatedly.ii) It is recognized as one's own ideas, impulse or image but is perceived as egoalien (foreign to ones personality).iii) It is recognized as irrational and absurd (insight is presents Patient knows about disorder).iv) Patient tries to resist against it but is unable to do so which leads to marked distress or anxiety.* A compulsion has following characteristics : -i) It is repetitive, purposeful form of behavior is carried out because of strong feeling of compulsion to do so.ii) It usually follows an obsession.iii) Its goal is to prevent or reduce the anxiety or stress caused by obsession however it do not always succeed in doing so.iv) It is irrational or excessive and not realistic.v) Insight is present.* A patient with OCD may have an obsession, a compulsion or both (mostly patients have both).* A patient with OCD realizes the irrationality of the obsession and experiences both the obsession and the compulsion as ego-dystonic (unwanted behavior).* The person is preoccupied with details rules, list order, organization or schedules to the extent that the major point of activity is lost.* The person shows perfectionism that interferes with task completion (e.g., unable to complete project because his own overtly strict standard are not met).",3,Depression,Mania,Anxiety,Delusion,Psychiatry,Anxiety & Stress,5b0bab1b-5372-4fd9-82e2-9097890d9048,single
Erotomania is a,"Erotomania: Synonym for delusions of love. Erotomanic (De Clerambault syndrome): In erotomania, is also referred to as de Clerambault syndrome it is also called as psychose passionelle. here the patient has the delusional conviction that another person the person on whom the patient has a delusion is usally from a higher status or a celebrity the patient is usually socio economically deprived the patient beleives that person in the higher status usally initiates the love proposal. inspite of the patient and the person not having any contacy, patient beleives that the person sends hidden messages that the patient alone can understand the persons on which the delusions are built are stalked and there is even risk of homicide. Besides being the key symptom in some cases of delusional disorder, it is known to occur in schizophrenia, mood disorder, and other organic disorders. Reference: Kaplan & Sadock's Synopsis of Psychiatry, 11th edition, Page 336.",3,Mood disorder,Impulse control disorder,Delusional disorder,Personality disorder,Psychiatry,Mood disorders,ecbb79b0-8a8b-457e-bcae-15d53c66cdca,single
A clinical sign of mania is,"Mania this disorder tends to occur in episodes which last 3-4months, followed by complete recovery. There is a flight of ideas(rapidly produced speech with abrupt shifts from topic to topic, using external environmental cues. Typically the connections between the shifts are apparent). When the flight becomes severe, incoherence may occur. A less severe and a more ordered flight in the absence of pressure of speech is called prolixity (Ref: a sho textbook of psychiatry, Niraj Ahuja, 7th edition,p g no.70)",4,Neologism,Perseveration,Echolalia,Flight of ideas,Psychiatry,Mood disorders,6d68e1b8-6afe-4cb4-b4a3-5ac138cd4270,single
"A post-natal mother who delivered 2 days back presents with increased tearfulness and sleeplessness. No features of anhedonia, suicidal thoughts or lack of interest present. Most probable diagnosis:","C i.e. Postpartum bluesRef: Kaplan and Saddock's Synopsis of Psychiatry, 11th edition and Short Textbook of Psychiatry, 7th editionExplanation:Psychological disturbances unique for women are:Related to mensesPremenstrual dysphoric disorder,Postmenopausal syndrome.Related to pregnancyAnxiety.Depression.Related to deliveryPostpartum blues,Postpartum depression,Postpartum psychosis.The above question deals with postpartum psychological problems.Postpartum bluesMild form.Characterized by occasional sadness/tearfulness.No other significant mood/psychotic/behavioral symptoms present.No significant disturbance in sleep, appetite, activities of daily living.Treatment is psychotherapy (reassurance and monitoring for symptoms).Postpartum depressionModerate form.Characterized by:Sadness, loss of interest in previous pleasurable activities (anhedonia).Easy fatigability, feeling of worthless/hopeless/helpless/guilt.Suicidal ideas/attempt, decreased appetite and sleep.Depending on the severity, psychotherapy, pharmacotherapy, ECT, may be needed.Postpartum psychosisSevere form.Characterized by psychotic symptoms (hallucination, delusion, and disorganized speech/behaviour).This condition needs treatment as inpatient basis with pharmacotherapy +- ECT.DDs for postpartum psychosis: Delirium (mostly related to events like eclampsia, hemorrhage, thrombosis, especially cortical vein thrombosis and Sheehan syndrome-postpartum pituitary gland necrosis).",3,Mania,Peripartum psychosis,Postpartum blues,Postpartum depression,Psychiatry,Mood Disorders,1fc76516-7a06-4ef6-bd0f-f61da2e18443,single
Daily depressed mood for minimum____ weeks is must to classify someone as suffering from major depression disease,"Ans. b (2 weeks.) (Ref. Harrison's 17th/Table 386-9; Kaplan & Sadock's Synopsis Psychiatry, 10th/p. 534. Table 15.1-5)ConditionDuration for DiagnosisMania1 weekDepression2 weeksSchizophrenia6 monthsSchezophreniform disorder< 6 monthsRapid cyclers> 4 episodes per yearDysthmiaMinor depression > 2 yearsCyclothymiaManiac depressive psychosis > 2 yearsPanic disorder> 1 monthGenaralised anxiety disorderMost of the day.s.a.t least 6 monthsPost-traumatic stress disorder> 1 monthAcute psychosis< 1 monthAcute delusional psychosis< 3 monthsSoamatophorm disorderAt least 4 - pain1 - sexualAt least for 2 years2 - GIT1 - Pseudoneurotic SymptomsAction of Buspirone startsafter 2 weeksCRITERIA FOR MAJOR DEPRESSIVE EPISODEA. ive (or more) of the following symptoms have been present during the same 2-week period and represent a change from previous functioning; at least one of the symptoms is either (1) depressed mood or (2) loss of interest or pleasure.Note: Do not include symptoms that are clearly due to a general medical condition, or mood-incongruent delusions or hallucinations.1. Depressed mood most of the day, nearly every day, as indicated by either subjective report (e.g., feels sad or empty) or observation made by others (e.g., appears tearful)2. Markedly diminished interest or pleasure in all, or almost all, activities most of the day, nearly every day (as indicated by either subjective account or observation made by others)3. Significant weight loss when not dieting or weight gain (e.g., a change of >5% of body weight in a month), or decrease or increase in appetite nearly every day4. Insomnia or hypersomnia nearly every day5. Psychomotor agitation or retardation nearly every day (observable by others, not merely subjective feelings of restlessness or being slowed down)6. Fatigue or loss of energy nearly every day7. Feelings of worthlessness or excessive or inappropriate guilt (which may be delusional) nearly every day (not merely self-reproach or guilt about being sick)8. Diminished ability to think or concentrate, or indecisiveness, nearly every day (either by subjective account or as observed by others)9. Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation without a specific plan, or a suicide attempt or a specific plan for committing suicideB. The symptoms do not meet criteria for a mixed episodeC. The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioningD. The symptoms are not due to the direct physiologic effects of a substance (e.g., a drug of abuse, a medication) or a general medical condition (e.g., hypothyroidism)E. The symptoms are not better accounted for by bereavement; i.e., after the loss of a loved one, the symptoms persist for >2 months or are characterized by marked functional impairment, morbid preoccupation with worthlessness, suicidal ideation, psychotic symptoms, or psychomotor retardation",2,1,2,3,4,Psychiatry,Mood Disorders,d4982ec1-5e03-4092-908c-e93f0bee9c91,single
Othello syndrome is?,"ANSWER: (C) Delusion of InfidelityREF: Kaplan and sadock's 10th edition page 508Delusional disorder with delusions of infidelity has been called conjugal paranoia when it is limited to the delusion that a spouse has been unfaithful. The eponym Othello syndrome has been used to describe morbid jealousy that can arise from multiple concerns. The delusion usually afflicts men, often those with no prior psychiatric illness. It may appear suddenly and serve to explain a host of present and past events involving the spouse's behavior. The condition is difficult to treat and may diminish only on separation, divorce, or death of the",3,Delusion of persecution,Delusion of Grandeur,Delusion of Infidelity,Delusion of Doubles,Psychiatry,Symptoms & Signs ,8020abb3-8994-4384-a043-ba3855c26f06,single
A primigravida female feeling depressed and showing emotional lability soon after delivery Most likely cause is?,"Ans. is 'a' i.e., Post partum blues* Postpartum blues (Maternity blues/baby blues) is a transient condition that 75-80% of mothers could experience shortly after childbirth with a wide variety of symptoms which generally involve mood lability, tearfulness, and some mild anxiety and depressive symptoms.* Baby blues is not postpartum depression, unless it is abnormally severe.* Postpartum depression (PPD) can affect both sexes. Onset is typically between one week and one month following childbirth. Symptoms may include extreme sadness, low energy, anxiety, changes in sleeping or eating patterns, crying episodes, and irritability. Typically, postpartum depression is considered after signs and symptoms persist for at least two weeks.* The condition can also negatively affect the person's child.* Postpartum psychosis is a rare psychiatric emergency in which symptoms mania, depression, severe confusion, loss of inhibition, paranoia, hallucinations and delusions set in, beginning suddenly in the first two weeks after delivery. The symptoms vary and can change quickly.The most severe symptoms last from 2 to 12 weeks, and recovery takes 6 months to a year* Baby pinks Instead of having the baby blues, some women experience baby pinks when they are overly and illogically on top of the world (a mild to severe form of mania). These symptoms can sometimes be a trigger for a pending depressive imbalance, such as postpartum depression or postnatal psychosis",1,Post partum blues,Post partum psychosis,Post partum depression,Post partum pinks,Psychiatry,Mood Disorders,51bdb3bf-c6b1-40df-91d6-55d71a0728b8,single
omission was given by,"Behavioral therapy is learning given by BF Skinner , according to him all behaviors are learned phenomenon and thus can be unlearned Positive reinforcement a type of reinforcement when a behavior is rewarded there is more chance that the behavior is repeated Negative reinforcement is that when a behavior is done and an aversive response is removed, the behavior is repeated. When I go and meet my girlfriend, she checks my messages and picks up fight (aversive response) suddenly I delete all messages one day and that day there was no fight (no aversive response) then that behavior is repeated (delete all messages before meeting my girlfriend) Extinction is the type of reinforcement where a behavior is done and a rewarding response is removed the chance is that behavior will not be repeated A child likes to play with children( reward) but when the child fights with other children( undesirable behavior) the child will be removed from playing( removing a reward) , then the child stops fighting with other children( reduction of undesirable behaviour) Ref. kaplon and sadock synopsis, 11 th edition, pg no. 845",3,wernicke,alois alzeimer,skinner,pruisner,Psychiatry,Treatment in psychiatry,00cc0fca-7bb6-44e4-a2af-4cbd87a6e5eb,single
Counteransference is,"TRANSFERENCE============during therapy unconscious direction of feelings from the patient to the therapist COUNTER TRANSFERENCE==== during therapy unconscious direction of feelings from the therapist to the patient Ref.Kaplon and sadock, synopsis of psychiatry, 11 th edition, pg no. 845",2,Patient's feeling towards therapist,Doctor's feeling towards the patient,Psychic connection between patient and disease,Type of defence mechanism,Psychiatry,Treatment in psychiatry,59924bd5-8bb3-4176-b515-2302af5a684e,single
A male patient with bipolar disorder is controlled on medications. Symptoms of mania sta to appear whenever he himself tapers down the drugs. What type of treatment can improve compliance in this patient?,"Psychoeducation is a form of psychological intervention in which patient as well as family members are educated about various aspects of disease and its treatment. It involves discussion about the symptoms, the need for medications as well as maintenance of regular lifestyle. Psychoeducation decreases the chances of relapse in bipolar disorder.",1,Psychoeducation,CBT,Suppoive psychotherapy,Insight oriented psychotherapy,Psychiatry,Mood Disorders,95394a46-c20c-41ca-96d0-26765bff27ea,single
18 year old girl with circumscribed bald patch with no organic disease & no behavioural disorder has -,"Ans. is 'b' i.e., Trichotillomania o As there is no organic or behavioral disorders, this girl is suffering with impulse control disorder of compulsive hair pulling, known as Trichotillomania.Impulse control disordero These disorders are characterized by failure to resist an impulsive behavior that may be harmful to self or others. There may be a feeling of release of tension by doing the act and a feeling of guilt after the act is over.Important impulse control disorder are : -Pyromania (Pathological fire setting)Kleptomania (Pathological stealing)Trichotillomania (Compulsive hair pulling)Pathological gamblingIntermittent explosive disorderImpulse control disorder not otherwise specifiedOniomania (Compulsion to shop/buying)Internet compulsion (Internet addiction)Cellular or Mobile phone compulsionCompulsive sexual behavior (sexual addiction).",2,Depression,Trichotillomania,OCD,Phobia,Psychiatry,Mood Disorders,395a1598-58e2-4695-a782-23e0758c00b5,single
Typical change in problem behaviour shows how many stages,"This is called cycle of change given by Prochaska and declemente and it is called cycle of change and comprises of the following steps as listed below. * Ref.Kaplon and sadock, synopsis of psychiatry, 11 th edition, pg no. 624",4,2,3,4,5,Psychiatry,Treatment in psychiatry,bbebb8ed-6707-45a6-97de-4275969da3ba,single
Ekbom syndrome is referred to as:,Ans. A. Delusion of infestationDelusion of infestation/parasitosis- pt reports of insects/burrowing worms- under skinEkbom's syndrome- pt believes that he is infested with small but macroscopic organism,1,Delusion of infestation,Delusion of persecution,Delusion of love,Deletion of infidelity,Psychiatry,Symptoms & Signs ,2b9abf9b-4b92-4faf-9efb-ae88fece24e5,single
"A post graduate trainee could not deliver seminars and presentations, fearing his seniors despite knowing that they are supportive. He has difficulty speaking in front of others and also avoids going to the parties and college outings. The most likely diagnosis is he is suffering from:",Ans. C. Social phobiaHere the fear is performing in public and there is also avoidance of social situations (i.e. avoidance of parties).,3,Agoraphobia,Depressive disorder,Social phobia,Panic disorder,Psychiatry,Anxiety & Stress,2c97bac5-2031-4123-8fec-d7daf699e94b,single
"A patient was brought to the ER with non stop talking, singing, uncontrollable behavior and apparent loss of contact with reality. It is diagnosed as a case of acute mania. Which of the following drugs is most suitable for rapid control of his symptoms?","When the question clearly mentions rapid control of symptoms, antipsychotics are the preferred answer. For rapid control of agitation, and psychosis, usually Parenteral antipsychotics are used. Benzodiazepines can also be used.",2,Lithium,Haloperidol,Valproate,Diazepam,Psychiatry,Mood Disorders,ded8fe10-6d10-4a5a-a19e-354c3c28723b,single
Drug of choice for rapid cycles of bipolar disorder is,LITHIUM is the drug of choice for EUPHORIC MANIA VALPROATE is the drug of choice for RAPID CYCLING DISORDER LAMOTRIGINE is the drug of choice for bipolar depression Valproate is the drug used mainly for rapid cyclers-more than 4 episodes of psychosis or depression in one yr Atypical antipsychotics -DOC -for acute mania Ref: Essentials of postgraduate psychiatry By JN Vyas 1st ed Pg 620,1,Valproate,Lithium,Haloperidol,Chlorpromazine,Psychiatry,Mood disorders,74fe4ca3-7c5c-4cfe-8115-836f52c2bc15,single
Drug of choice in bipolar disorder is?,"Ans. is 'b' i.e., Lithium carbonate Treatment of Bipolar disorder1) Treatment of acute episodes : - It depends on the type of episode, i.e., manic (acute mania) or depression : -a) Treatment of Acute Mania: - The treatment of acute mania or hypomania is the easiest phases of bipolar disorders to treat. Drugs used for the treatment of acute mania are: -i) Lithiumii) Valproateiii) Carbamazepine, Oxcarbazepineiv) Atypical & typical antipsychotics : - Olanzapine, risperidone, quetiapine, ziprasidone, aripiprazole, Haloperidol, Chlorpromazine.v) Benzodiazepines: - Clonazepam or Lorazepam can be used as adjunctive treatment for agitation, aggression, insomnia.ConditionPreferred agent* Hypomania* Lithium or Valproic* Mania* Lithium* Mania with dysphoria (mixed mania)* Valproic acid* Mania with psychosis* Valproate with olanzapine or risperidoneb) Treatment of acute bipolar depression: - Antidepressants with a mood stabilizer is used as using antidepressant alone in depressive episode of bipolar disorder can precipitate manic or hypomanic episode. If patient does not respond to standard antidepressants lamotrigine or ziprasidone can be used.Mild or moderate depressionLithium or lamotrigine alone, Add antidepressant (Bupripion) if needed.Severe depressionAntidepressant (Bupripione, Fluoxetine, sertaline) plus lithiumSevere depression with psychosisAntidepressant plus lithium plus olanzapine or risperidone.2) Maintenance treatment: - It is used to prevent the recurrence after acute episode has been controlled, i.e., Prophylactic treatment for bipolar disorder. Three drugs are commonly used: -i) Lithium (drug of choice)ii) Carbamazepine.iii) Valproate,iv) Other drugs which can be used are topiramate, Lamotrigine, atypical antipsychotics (aripiprazole, olanzapine, quetiapine, risperidone, Clozapine) and Gabapentin.3) Treatment of rapid cycling: -i) Valproate is the drug of choiceii) Other drugs used are Carbamazepine, Lithium, Lamotrigine.",2,Carbamazepine,Lithium carbonate,Imipramine,Buspirone,Psychiatry,Mood Disorders,7f97c020-bf3c-4482-96f5-a03875d55a90,single
The most prevalent psychiatric illness in the general community is,"Anxiety disorders, the most prevalent psychiatric illnesses in the general community, are present in 15- 20% of medical clinic patients there are several anxiety disorders namely panic disorder agaraphobia specific phobia obsessive compulsive disorder somatization disorder conversion disorder dissosiation disorder adjustment disorder post traumatic disorder Reference: Kaplon and sadock, 11 th edition, synopsis of psychiatry, 11 th edition, pg no. 387",1,Anxiety disorder,Schizophrenia,Depression,Mood disorders,Psychiatry,Anxiety disorders stress disorders and grief,a440486f-1460-4ebd-b8e9-e15fb0fecb49,single
"A group of 4 teenagers while going for a trip met a car accident. Out of four, 3 people died on the spot. Surviving girl was admitted in an ICU for 3 months. After being discharged she often gets up in night and feels terrified. She says that she sees same events in her dreams. She is now afraid of the cars. The diagnosis is?","Ans. is 'd' i.e., Post traumatic stress disorder * Information in this question are:-1. Traumatic event involving death and injury (car accident)2. Re-experience of the event through Nightmares (gets up in night 8c feels terrified)3. Avoidance (afraid to sit in a car again)* Diagnosis is PTSD.Stressors for stress disorders* Stress disorders occur after an extreme traumatic events involving the threat of personal death or injury. They can arise from experiences in war, torture, natural catastroph (earthquake, volcano, floods), assault, rape, and serious accidents (e.g., in car) in burning building.* Symptoms of PTSD develop within 6 months of stressor, However 10% patients have delayed onset.Risk factors for Stress disorders1) Vulnerability factors: - Low education, Lower social class, female gender, low self esteem/neurotic traits, previous traumatic events (including childhood trauma), previous self or family history of psychiatric problems (mood/ anxiety disorders).2) Protective factors: - High IQ, higher social class, male gender, psychopathic traits, chance to view body of dead relative / friend.3) Biological factors: - Following systems are hyperactive in PTSD : -a) Noradrenergic systemb) Opioid systemc) Hypothalamic-pituitary-adrenal (HDA) axis* Recently, the role of Hippocampus in PTSD has received increased attention. Animal studies have shown that stress is associated with structural changes in the hippocampus, and studies of combat veterans with PTSD have revealed a lower average volume in the hippocampal region of the brain. Structural changes in the amygadala, an area of the brain associated with fear, have also been demonstrated.",4,Anxiety disorder,Phobia,Conversion disorder,Post traumatic stress disorder,Psychiatry,Anxiety & Stress,b1909f0a-dfe3-4215-840f-9277bca539ce,single
Most common psychiatric disorder is?,"Ans. is 'b' i.e., Anxiety * Anxiety disorders are the most common psychiatric disorder followed by depression.",2,Depression,Anxiety,Dementia,Delirium,Psychiatry,Anxiety & Stress,3b6b5ab1-d48a-4df9-8208-7466812a6a0d,single
Which of the following drug when combined with Electro-convulsive therapy leads to post ictal delirium,Lithium when combined with ECT Lowered seizure threshold - Prolonged seizures(lasting > 3 min). Results in post-ictal delirium. Doses are withheld for 24 hours prior to treatment,2,Succinylcholine,Lithium,Desipramine,Clozapine,Psychiatry,Mood Disorders,7aecac38-0c93-4148-81f9-3da75f688be4,single
What does double depression means?,"Ans. C. Depression superimposed on dysthymiaDouble depression refers to the co-existence of major depressive disorder (MDD) and persistent depressive disorder (PDD), (the latter was previously referred to as dysthymia). Research has shown that double depression tends to be more severe than either MDD or PDD alone and that individuals with double depression experience relapse more often than those with either MDD or PDD alone. However, there is some research that indicates few differences exist between double depression, MDD, and PDD; as a result, those researchers conclude that double depression is not a distinct disorder.",3,Two family members with major depressive disorder concurrently,Depression occurring 2 times consecutively in a year,Depression superimposed on dysthymia,Depression superimposed on dementia,Psychiatry,Mood Disorders,4e75f6dc-a9b8-4873-938a-57e43de86e64,single
Delusion of persecution is?,"Ans is 'b' i.e. Delusion of being cheated Persecutory delusions (paranoid)* This is the most common type of delusion. The patient feels that he is being persecuted against.* There is false belief that one is being harmed, threatened, cheated, poisoned, harassed or spied on or is a victim of conspiracy to damage his reputation.* The supposed persecutor of the patient may be people in the environment (e.g., members of family, neighbors, former friend) or may be political or religious groups.* These delusions occur in schizophrenia (especially paranoid, severe affective disorders (sever mania or severe depression), and organic brain syndrome.* Delusion of persecution may occur in the context of primary delusional experiences, auditory hallucinations, bodily hallucinations or experiences of passivity.",2,Delusion of jealousy,Delusion of being cheated,Delusion of defective body part,Delusion of love,Psychiatry,Symptoms & Signs ,8820dd02-54c5-4e21-9737-d3e91b588058,single
Delusion is the disorder of which of the following:,"Ans. A. ThoughtDELUSION is false belief in something that is not true.Types of delusions are:1. Primary delusions (autochthonous delusions): Arise Denovo, cannot be explained on the basis of other experiences or perceptions. They are characteristic of early schizophrenia.2. Secondary delusions: Commonest delusions seen in clinical practice and seen in many psychological disorders.Commonly seen delusions in schizophrenia are:1. Delusion of grandeur2. Delusion of persecution3. Delusion of reference4. Delusion of control",1,Thought,Perception,Always organic,Always psychiatric,Psychiatry,Symptoms & Signs ,f6c811b0-3802-41b8-92ba-177c1097dd2c,single
"To diagnose depression, symptoms should last at least for","Symptoms should last for at least 2 weeks, for cyclothymia -mild form of depression, symptoms should last for 2 years Ref: Essentials of postgraduate psychiatry By JN Vyas 1st ed Pg 604-607",3,4 weeks,6 months,2 weeks,6 weeks,Psychiatry,Mood disorders,70221dec-38f2-4de6-beb6-69f9c91dd7e5,single
Which of the following antidepressants is least likely to have sexual side-effects?,Miazapine and buproprion have relatively low risk of causing sexual side effects as compared to other antidepressants,2,Amitriptyline,Miazapine,Fluoxetine,Venlafaxine,Psychiatry,Mood Disorders,31f1beec-335f-4460-a4e9-a96325597eef,single
