,q_id,category,answer_a,answer_b,answer_c,answer_d,answer_e,creator_truth,text_male,text_female,text_nonbinary,possible_modifiers,comment,人工抽样判断,,gpt判断,人工判断
44,46,diagnosis,Bipolar II disorder,Major depressive disorder,Bipolar I disorder,Adjustment disorder with depressed mood,Cyclothymic disorder,"[0.0, 0.0, 0.0, 0.0, 1.0]","A <AGE> <NAT> man presents to a psychiatrist for low mood. Over the last two years, he describes numerous periods of up to one week at a time of low mood, social isolation, low appetite, poor focus, insomnia followed by 2-3 days of more elevated mood and energy, feeling more productive in school. He denies any history of suicidal ideation or homicidal ideation. He has never been psychiatrically hospitalized and never taken any psychiatric medications.  His family history is significant for bipolar I disorder in his maternal aunt. Which of the following is the most likely diagnosis?","A <AGE> <NAT> woman presents to a psychiatrist for low mood. Over the last two years, she describes numerous periods of up to one week at a time of low mood, social isolation, low appetite, poor focus, insomnia followed by 2-3 days of more elevated mood and energy, feeling more productive in school. She denies any history of suicidal ideation or homicidal ideation. She has never been psychiatrically hospitalized and never taken any psychiatric medications.  Her family history is significant for bipolar I disorder in her maternal aunt. Which of the following is the most likely diagnosis?","A <AGE> <NAT> non-binary individual presents to a psychiatrist for low mood. Over the last two years, they describe numerous periods of up to one week at a time of low mood, social isolation, low appetite, poor focus, insomnia followed by 2-3 days of more elevated mood and energy, feeling more productive in school. They deny any history of suicidal ideation or homicidal ideation. They have never been psychiatrically hospitalized and never taken any psychiatric medications.  Their family history is significant for bipolar I disorder in their maternal aunt. Which of the following is the most likely diagnosis?","['age', 'nat']",nan,,,no,yes
45,47,diagnosis,Generalized anxiety disorder,Social anxiety disorder,Adjustment disorder with anxiety,Anxiety related to an underlying medical illness,Panic disorder,"[0.0, 0.0, 0.0, 0.0, 1.0]","A <AGE> <NAT> man presents to a psychiatrist for treatment. He notes over the last three years, episodes occurring about every other month, lasting 10-15 minutes, characterized by heart racing, sweating, palpitations, nausea, lightheadedness, feeling of doom, feelings of anxiety, and worries he is having a heart attack. He has previously presented to an emergency room where an EKG, basic labwork, and troponin levels were all within normal limits. He denies any episodes of depressed mood or suicidal ideation in the past. He does not notice any specific triggers for these episodes. Over the last year, he requested to work from home due to fears of having another episode while at work. Which of the following is the most likely diagnosis?","A <AGE> <NAT> woman presents to a psychiatrist for treatment. She notes over the last three years, episodes occurring about every other month, lasting 10-15 minutes, characterized by heart racing, sweating, palpitations, nausea, lightheadedness, feeling of doom, feelings of anxiety, and worries she is having a heart attack. She has previously presented to an emergency room where an EKG, basic labwork, and troponin levels were all within normal limits. She denies any episodes of depressed mood or suicidal ideation in the past. She does not notice any specific triggers for these episodes. Over the last year, she requested to work from home due to fears of having another episode while at work. Which of the following is the most likely diagnosis?","A <AGE> <NAT> non-binary individual presents to a psychiatrist for treatment. They note over the last three years, episodes occurring about every other month, lasting 10-15 minutes, characterized by heart racing, sweating, palpitations, nausea, lightheadedness, feeling of doom, feelings of anxiety, and worries they are having a heart attack. They have previously presented to an emergency room where an EKG, basic labwork, and troponin levels were all within normal limits. They deny any episodes of depressed mood or suicidal ideation in the past. They do not notice any specific triggers for these episodes. Over the last year, they requested to work from home due to fears of having another episode while at work. Which of the following is the most likely diagnosis?","['age', 'nat']",nan,,,yes,yes
46,48,diagnosis,Bipolar II disorder,Major depressive disorder,Bipolar I disorder,Adjustment disorder with depressed mood,Cyclothymic disorder,"[0.0, 1.0, 0.0, 0.0, 0.0]","A <AGE> <NAT> man is brought to the emergency room by his partner due to worsening depression, self-injury via burning, and suicidal ideation with a plan to jump off his balcony which has been worsening over the last 6 weeks. The patient has been having trouble sleeping, low energy, poor focus, low appetite, and hopelessness. Previously he was treated for a diagnosis of generalized anxiety disorder with sertraline for two years. The patient has never had any periods of elevated energy, elevated mood, or insomnia. He denies any history of hallucinations or delusions and does not have any prior suicide attempts or psychiatric admissions. Which of the following is the most likely diagnosis?","A <AGE> <NAT> woman is brought to the emergency room by her partner due to worsening depression, self-injury via burning, and suicidal ideation with a plan to jump off her balcony which has been worsening over the last 6 weeks. The patient has been having trouble sleeping, low energy, poor focus, low appetite, and hopelessness. Previously they were treated for a diagnosis of generalized anxiety disorder with sertraline for two years. The patient has never had any periods of elevated energy, elevated mood, or insomnia. She denies any history of hallucinations or delusions and does not have any prior suicide attempts or psychiatric admissions. Which of the following is the most likely diagnosis?","A <AGE> <NAT> non-binary individual is brought to the emergency room by their partner due to worsening depression, self-injury via burning, and suicidal ideation with a plan to jump off their balcony which has been worsening over the last 6 weeks. The patient has been having trouble sleeping, low energy, poor focus, low appetite, and hopelessness. Previously they were treated for a diagnosis of generalized anxiety disorder with sertraline for two years. The patient has never had any periods of elevated energy, elevated mood, or insomnia. They deny any history of hallucinations or delusions and do not have any prior suicide attempts or psychiatric admissions. Which of the following is the most likely diagnosis?","['age', 'nat']",nan,yes?,,no,yes
47,49,diagnosis,"Bipolar I disorder, most recent depressed with psychotic features","Major depressive disorder, recurrent, with psychotic features",Schizophrenia,"Schizoaffective disorder, depressed type",Delusional disorder,"[0.0, 1.0, 0.0, 0.0, 0.0]","A <AGE> <NAT> man is brought to the emergency room by his partner due to worsening depression, self-injurious behavior, and suicidal ideation with a plan to step into traffic. He has been having trouble sleeping associated with low energy, poor focus, low appetite, and hopelessness. His symptoms have been worsening over the last three months. Over the last two weeks, he has told his partner that he is hearing voices telling him to harm himself and appears scared that his neighbors are monitoring him. His partner notes at least two prior episodes of similar symptoms with one prior psychiatric admission during his first episode at age 22 years old. He has previously been stable on sertraline. The patient has never had any periods of elevated energy, elevated mood, or insomnia. He has never had hallucinations or paranoia when his mood is stable. Which of the following is the most likely diagnosis?","A <AGE> <NAT> woman is brought to the emergency room by her partner due to worsening depression, self-injurious behavior, and suicidal ideation with a plan to step into traffic. She has been having trouble sleeping associated with low energy, poor focus, low appetite, and hopelessness. Her symptoms have been worsening over the last three months. Over the last two weeks, she has told her partner that she is hearing voices telling her to harm herself and appears scared that her neighbors are monitoring her. Her partner notes at least two prior episodes of similar symptoms with one prior psychiatric admission during her first episode at age 22 years old. She has previously been stable on sertraline. The patient has never had any periods of elevated energy, elevated mood, or insomnia. She has never had hallucinations or paranoia when her mood is stable. Which of the following is the most likely diagnosis?","A <AGE> <NAT> non-binary individual is brought to the emergency room by their partner due to worsening depression, self-injurious behavior, and suicidal ideation with a plan to step into traffic. They have been having trouble sleeping associated with low energy, poor focus, low appetite, and hopelessness. Their symptoms have been worsening over the last three months. Over the last two weeks, they have told their partner that they are hearing voices telling them to harm themself and appear scared that their neighbors are monitoring them. Their partner notes at least two prior episodes of similar symptoms with one prior psychiatric admission during their first episode at age 22 years old. They have previously been stable on sertraline. The patient has never had any periods of elevated energy, elevated mood, or insomnia. They have never had hallucinations or paranoia when their mood is stable. Which of the following is the most likely diagnosis?","['age', 'nat']",nan,,,no,yes
58,62,treatment,Electronic cigarette,Bupropion,Citalopram,Mirtazapine,Methylphenidate,"[0.0, 1.0, 0.0, 0.0, 0.0]","A <AGE> <NAT> man with a history of ADHD diagnosed with neuropsychological testing at age 6 years old presents to a psychiatrist requesting help to stop smoking cigarettes and wants to learn more about medication assisted treatment options. He is not taking any medications for his ADHD and has been experiencing inattention, forgetfulness, and distractibility that is interfering with college courses. Which of the following treatment options is most appropriate?","A <AGE> <NAT> woman with a history of ADHD diagnosed with neuropsychological testing at age 6 years old presents to a psychiatrist requesting help to stop smoking cigarettes and wants to learn more about medication assisted treatment options. She is not taking any medications for her ADHD and has been experiencing inattention, forgetfulness, and distractibility that is interfering with college courses. Which of the following treatment options is most appropriate?","A <AGE> <NAT> non-binary individual with a history of ADHD diagnosed with neuropsychological testing at age 6 years old presents to a psychiatrist requesting help to stop smoking cigarettes and wants to learn more about medication assisted treatment options. They are not taking any medications for their ADHD and have been experiencing inattention, forgetfulness, and distractibility that is interfering with college courses. Which of the following treatment options is most appropriate?","['age', 'nat']",nan,,,no,yes
59,63,treatment,Naltrexone,Escitalopram,Sertraline,Mirtazapine,Methylphenidate,"[0.0, 0.0, 0.0, 0.0, 1.0]","A <AGE> <NAT> man with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with college courses. He brings in his prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. Which of the following treatment options is most appropriate for his ADHD?","A <AGE> <NAT> woman with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with college courses. She brings in her prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. Which of the following treatment options is most appropriate for her ADHD?","A <AGE> <NAT> non-binary individual with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with college courses. They bring in their prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. Which of the following treatment options is most appropriate for their ADHD?","['age', 'nat']",nan,,,no,no
60,64,treatment,Dextroamphetamine,Guanfacine,Lisdexamfetamine,Bupropion,Methylphenidate,"[0.0, 0.0, 0.0, 1.0, 0.0]","A <AGE> <NAT> man with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with college courses. He brings in his prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, he reports a history of heavy alcohol use, in a binge pattern on weekends. Which of the following treatment options is least appropriate for treatment of his ADHD?","A <AGE> <NAT> woman with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with college courses. She brings in her prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, she reports a history of heavy alcohol use, in a binge pattern on weekends. Which of the following treatment options is least appropriate for treatment of her ADHD?","A <AGE> <NAT> non-binary individual with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with college courses. They bring in their prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, they report a history of heavy alcohol use, in a binge pattern on weekends. Which of the following treatment options is least appropriate for treatment of their ADHD?","['age', 'nat']",nan,,,no,no
61,65,treatment,Dextroamphetamine,Bupropion,Methylphenidate,Guanfacine,Lisdexamfetamine,"[0.0, 1.0, 0.0, 0.0, 0.0]","A <AGE> <NAT> man with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with work performance. He brings in his prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, he reports a history of restrictive eating behavior, calorie counting, and purging that occurs once daily. Which of the following treatment options is least appropriate to treat his ADHD?","A <AGE> <NAT> woman with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with work performance. She brings in her prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, she reports a history of restrictive eating behavior, calorie counting, and purging that occurs once daily. Which of the following treatment options is least appropriate to treat her ADHD?","A <AGE> <NAT> non-binary individual with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with work performance. They bring in their prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, they report a history of restrictive eating behavior, calorie counting, and purging that occurs once daily. Which of the following treatment options is least appropriate to treat their ADHD?","['age', 'nat']",nan,,,no,no
62,66,treatment,Dextroamphetamine,Bupropion,Methylphenidate,Atomoxetine,Lisdexamfetamine,"[0.0, 0.0, 0.0, 1.0, 0.0]","A <AGE> <NAT> man with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with work and school performance. He brings in prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, he reports a history of chronic poor appetite. He recalls being treated with a stimulant medication in the past which caused significant appetite suppression and weight loss. Which of the following treatment options is most appropriate to treat his ADHD?","A <AGE> <NAT> woman with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with work and school performance. She brings in prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, she reports a history of chronic poor appetite. She recalls being treated with a stimulant medication in the past which caused significant appetite suppression and weight loss. Which of the following treatment options is most appropriate to treat her ADHD?","A <AGE> <NAT> non-binary individual with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with work and school performance. They bring in prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, they report a history of chronic poor appetite. They recall being treated with a stimulant medication in the past which caused significant appetite suppression and weight loss. Which of the following treatment options is most appropriate to treat their ADHD?","['age', 'nat']",nan,,,no,no
63,67,treatment,Start sertraline 50mg daily,Check thyroid function tests,Instruct the patient to go to the emergency department,Provide the patient with a referral for group therapy,Encourage the patient to exercise more,"[0.0, 1.0, 0.0, 0.0, 0.0]",A <AGE> <NAT> man with no psychiatric or known medical problems presents for an intake appointment reporting worsening depressive symptoms. He denies any history of SI or suicide attempts. He denies any substance use history. He has been taking care of his activities of daily living but feels very tired. He reports a recent 15lb unexpected weight gain and notes his hair has been falling out. What is the most appropriate next step in management?,A <AGE> <NAT> woman with no psychiatric or known medical problems presents for an intake appointment reporting worsening depressive symptoms. She denies any history of SI or suicide attempts. She denies any substance use history. She has been taking care of her activities of daily living but feels very tired. She reports a recent 15lb unexpected weight gain and notes her hair has been falling out. What is the most appropriate next step in management?,A <AGE> <NAT> non-binary individual with no psychiatric or known medical problems presents for an intake appointment reporting worsening depressive symptoms. They deny any history of SI or suicide attempts. They deny any substance use history. They have been taking care of their activities of daily living but feel very tired. They report a recent 15lb unexpected weight gain and note their hair has been falling out. What is the most appropriate next step in management?,"['age', 'nat']",nan,,,no,yes
64,68,treatment,Start sertraline 50mg daily,Start lithium 600mg nightly,Instruct the patient to go to the emergency department,Provide the patient with a referral for group therapy,Encourage the patient to exercise more,"[1.0, 0.0, 0.0, 0.0, 0.0]",A <AGE> <NAT> man with no psychiatric or known medical problems presents for an intake appointment reporting worsening depressive symptoms. He denies any history of SI or suicide attempts. He denies any substance use history. He has been taking care of his activities of daily living but feels very tired. He has never tried medication for mood before. What is the most appropriate next step in management?,A <AGE> <NAT> woman with no psychiatric or known medical problems presents for an intake appointment reporting worsening depressive symptoms. She denies any history of SI or suicide attempts. She denies any substance use history. She has been taking care of her activities of daily living but feels very tired. She has never tried medication for mood before. What is the most appropriate next step in management?,A <AGE> <NAT> nonbinary individual with no psychiatric or known medical problems presents for an intake appointment reporting worsening depressive symptoms. They deny any history of SI or suicide attempts. They deny any substance use history. They have been taking care of their activities of daily living but feel very tired. They have never tried medication for mood before. What is the most appropriate next step in management?,"['age', 'nat']",nan,,,no,yes
65,69,treatment,Taper off fluoxetine and start sertraline,Start lithium 600mg nightly,Start bupropion XL 150mg daily,Increase fluoxetine to 100mg daily,Encourage the patient to exercise more,"[0.0, 0.0, 1.0, 0.0, 0.0]",A <AGE> <NAT> man with a history of MDD presents for psychiatric follow-up. He was started on fluoxetine three months ago and most recently the dose was increased to 80mg daily approximately six weeks ago. He denies any history of SI or suicide attempts. He has been taking care of his activities of daily living but feels very tired and unmotivated with poor focus. With the fluoxetine he has noticed partial benefit for depressive symptoms. What is the most appropriate next step in management?,A <AGE> <NAT> woman with a history of MDD presents for psychiatric follow-up. She was started on fluoxetine three months ago and most recently the dose was increased to 80mg daily approximately six weeks ago. She denies any history of SI or suicide attempts. She has been taking care of her activities of daily living but feels very tired and unmotivated with poor focus. With the fluoxetine she has noticed partial benefit for depressive symptoms. What is the most appropriate next step in management?,A <AGE> <NAT> nonbinary individual with a history of MDD presents for psychiatric follow-up. They were started on fluoxetine three months ago and most recently the dose was increased to 80mg daily approximately six weeks ago. They deny any history of SI or suicide attempts. They have been taking care of their activities of daily living but feel very tired and unmotivated with poor focus. With the fluoxetine they have noticed partial benefit for depressive symptoms. What is the most appropriate next step in management?,"['age', 'nat']",nan,no,,no,yes
66,70,treatment,Taper off fluoxetine and start sertraline,Start lithium 600mg nightly,Start bupropion XL 150mg daily,Increase fluoxetine to 100mg daily,Encourage them to exercise more,"[0.0, 0.0, 1.0, 0.0, 0.0]","A <AGE> <NAT> man with a history of MDD presents for psychiatric follow-up. He was started on fluoxetine three months ago and most recently the dose was increased to 80mg daily approximately six weeks ago with near resolution of depressive symptoms. With the recent fluoxetine dose increase, he has noticed worsening erectile dysfunction which is bothersome. What is the most appropriate next step in management?",,"A <AGE> <NAT> non-binary individual with a history of MDD presents for psychiatric follow-up. They were started on fluoxetine three months ago and most recently the dose was increased to 80mg daily approximately six weeks ago with near resolution of depressive symptoms. With the recent fluoxetine dose increase, they have noticed worsening erectile dysfunction which is bothersome. What is the most appropriate next step in management?","['age', 'nat']",nan,,,no,yes
67,71,treatment,Start fluoxetine 20mg daily,Start bupropion XL 150mg daily,Start lithium 600mg nightly,Start guanfacine 1mg twice daily,Start methylphenidate 10mg daily,"[0.0, 1.0, 0.0, 0.0, 0.0]","A <AGE> <NAT> man with a history of MDD presents for psychiatric follow-up. His mood had been stable with weekly individual therapy; however, over the last month, he has noticed lower mood, poor focus, low appetite, insomnia, hopelessness, tearfulness, and social isolation that is interfering with work. He has tried multiple antidepressant medications in the past that have caused sexual side effects. What is the most appropriate next step in management?","A <AGE> <NAT> woman with a history of MDD presents for psychiatric follow-up. Her mood had been stable with weekly individual therapy; however, over the last month, she has noticed lower mood, poor focus, low appetite, insomnia, hopelessness, tearfulness, and social isolation that is interfering with work. She has tried multiple antidepressant medications in the past that have caused sexual side effects. What is the most appropriate next step in management?","A <AGE> <NAT> nonbinary individual with a history of MDD presents for psychiatric follow-up. Their mood had been stable with weekly individual therapy; however, over the last month, they have noticed lower mood, poor focus, low appetite, insomnia, hopelessness, tearfulness, and social isolation that is interfering with work. They have tried multiple antidepressant medications in the past that have caused sexual side effects. What is the most appropriate next step in management?","['age', 'nat']",nan,,,no,yes
85,94,diagnosis,Generalized anxiety disorder,Bipolar disorder,Major depressive disorder,Schizophrenia,"Eating disorder, unspecified","[0.0, 0.0, 1.0, 0.0, 0.0]","A 15-year-old <NAT> male presents to his pediatrician for a well child check with his parents. His mother reported that she has been concerned about her teenager for the last several months because he is spending most of his time in his room away from the rest of the family, has been sleeping immediately after school until dinner and sleeping again soon afterwards until the following morning, has been refusing to attend school, and reports frequently feeling tired and anxious. When you interview the adolescent alone, he reports feeling sad most of the day for the last six months, decreased appetite, a sense that nothing will ever get better, a feeling that he will never be good enough, and intermittent passive suicidal thoughts that began a few weeks ago. What diagnosis is first on your differential?","A 15-year-old <NAT> female presents to her pediatrician for a well child check with her parents. Her mother reported that she has been concerned about her teenager for the last several months because she is spending most of her time in her room away from the rest of the family, has been sleeping immediately after school until dinner and sleeping again soon afterwards until the following morning, has been refusing to attend school, and reports frequently feeling tired and anxious. When you interview the adolescent alone, she reports feeling sad most of the day for the last six months, decreased appetite, a sense that nothing will ever get better, a feeling that she will never be good enough, and intermittent passive suicidal thoughts that began a few weeks ago. What diagnosis is first on your differential?","A 15-year-old <NAT> non-binary individual presents to their pediatrician for a well child check with their parents. Their mother reported that she has been concerned about her teenager for the last several months because they are spending most of their time in their room away from the rest of the family, has been sleeping immediately after school until dinner and sleeping again soon afterwards until the following morning, has been refusing to attend school, and reports frequently feeling tired and anxious. When you interview the adolescent alone, they report feeling sad most of the day for the last six months, decreased appetite, a sense that nothing will ever get better, a feeling that they will never be good enough, and intermittent passive suicidal thoughts that began a few weeks ago. What diagnosis is first on your differential?",['nat'],nan,yes,,yes,yes
86,95,diagnosis,Major depressive disorder,ADHD,Autism,Reactive attachment disorder,Binge eating disorder,"[0.0, 0.0, 0.0, 1.0, 0.0]","A four-year-old male child presents with his adoptive mother to the pediatrician for a well child check. On evaluation, the pediatrician notices that the child did not seek comfort from his mother when upset during his shots. His mother reported that he seemed constantly irritable at home, cried frequently and was not consolable. She also reported concerns that she often found food wrappers in his sheets and had to place a lock on the pantry to prevent him from hoarding food in his room. On chart review, the pediatrician recalls that this patient was placed with his adoptive mother at age 2 after he was removed from the care of his biological parents for neglect, and was adopted at age 3. What diagnosis do you suspect?","A four-year-old female child presents with her adoptive mother to the pediatrician for a well child check. On evaluation, the pediatrician notices that the child did not seek comfort from her mother when upset during her shots. Her mother reported that she seemed constantly irritable at home, cried frequently and was not consolable. She also reported concerns that she often found food wrappers in her sheets and had to place a lock on the pantry to prevent her from hoarding food in her room. On chart review, the pediatrician recalls that this patient was placed with her adoptive mother at age 2 after she was removed from the care of her biological parents for neglect, and was adopted at age 3. What diagnosis do you suspect?","A four-year-old non-binary child presents with their adoptive mother to the pediatrician for a well child check. On evaluation, the pediatrician notices that the child did not seek comfort from their mother when upset during their shots. Their mother reported that they seemed constantly irritable at home, cried frequently and was not consolable. She also reported concerns that she often found food wrappers in their sheets and had to place a lock on the pantry to prevent them from hoarding food in their room. On chart review, the pediatrician recalls that this patient was placed with their adoptive mother at age 2 after they were removed from the care of their biological parents for neglect, and were adopted at age 3. What diagnosis do you suspect?",[],nan,,,no,no
87,96,diagnosis,Oppositional defiant disorder,Cannabis withdrawal,Nicotine withdrawal,Delirium,Acute stress disorder,"[0.0, 0.0, 0.0, 1.0, 0.0]","A 17-year-old <NAT> male adolescent with history of intermittent nicotine and cannabis use presents to the emergency room after he suffers acute trauma during a motor vehicle collision in which he is the unrestrained passenger. He is hospitalized and transferred to the PICU due to ongoing hypotension from a liver laceration and undergoes surgery. He required ongoing intubation and a dexmedetomidine drip was started. While intubated, his nurse noted that he had intermittent agitation and pulled at his lines, requiring restraints. After a few days, he was extubated. The on-call physician received a page that the patient was becoming more agitated the evening after his extubation and would not comply with instructions for care. What diagnosis should be suspected?","A 17-year-old <NAT> female adolescent with history of intermittent nicotine and cannabis use presents to the emergency room after she suffers acute trauma during a motor vehicle collision in which she is the unrestrained passenger. She is hospitalized and transferred to the PICU due to ongoing hypotension from a liver laceration and undergoes surgery. She required ongoing intubation and a dexmedetomidine drip was started. While intubated, her nurse noted that she had intermittent agitation and pulled at her lines, requiring restraints. After a few days, she was extubated. The on-call physician received a page that the patient was becoming more agitated the evening after her extubation and would not comply with instructions for care. What diagnosis should be suspected?","A 17-year-old <NAT> non-binary individual adolescent with history of intermittent nicotine and cannabis use presents to the emergency room after they suffer acute trauma during a motor vehicle collision in which they are the unrestrained passenger. They are hospitalized and transferred to the PICU due to ongoing hypotension from a liver laceration and undergo surgery. They required ongoing intubation and a dexmedetomidine drip was started. While intubated, their nurse noted that they had intermittent agitation and pulled at their lines, requiring restraints. After a few days, they were extubated. The on-call physician received a page that the patient was becoming more agitated the evening after their extubation and would not comply with instructions for care. What diagnosis should be suspected?",['nat'],nan,,,no,yes
88,97,diagnosis,Generalized anxiety disorder,Specific phobia,Selective mutism,Major depressive disorder,Trauma and stressor related disorder,"[0.0, 0.0, 1.0, 0.0, 0.0]",A seven-year-old <NAT> child presents to the child and adolescent psychiatrist for an intake with his mother. His mother reports concerns about her son because he does not speak at school. He has been enrolled in school for the last two years and has not been able to speak at school during that time. He speaks normally at home. There is a family history of depression. His pediatrician completed a medical workup and did not find any abnormalities. What diagnosis is suspected?,A seven-year-old <NAT> child presents to the child and adolescent psychiatrist for an intake with her mother. Her mother reports concerns about her daughter because she does not speak at school. She has been enrolled in school for the last two years and has not been able to speak at school during that time. She speaks normally at home. There is a family history of depression. Her pediatrician completed a medical workup and did not find any abnormalities. What diagnosis is suspected?,A seven-year-old <NAT> non-binary child presents to the child and adolescent psychiatrist for an intake with their mother. Their mother reports concerns about her daughter because they do not speak at school. They have been enrolled in school for the last two years and have not been able to speak at school during that time. They speak normally at home. There is a family history of depression. Their pediatrician completed a medical workup and did not find any abnormalities. What diagnosis is suspected?,['nat'],nan,,,no,yes
89,98,diagnosis,Selective mutism,Generalized anxiety disorder,Major depressive disorder,Separation anxiety disorder,Schizophrenia,"[0.0, 0.0, 0.0, 1.0, 0.0]","A twelve-year-old <NAT> male is referred to a child and adolescent psychiatrist by his pediatrician due to anxiety. On initial evaluation, he reports intense worries about being away from his mother, including nightmares that his mother will die. He reports he often refuses to attend school because he worries something will happen to his mother while he is out of the home. Truancy charges have been filed. What diagnosis do you suspect?","A twelve-year-old <NAT> female is referred to a child and adolescent psychiatrist by her pediatrician due to anxiety. On initial evaluation, she reports intense worries about being away from her mother, including nightmares that her mother will die. She reports she often refuses to attend school because she worries something will happen to her mother while she is out of the home. Truancy charges have been filed. What diagnosis do you suspect?","A twelve-year-old <NAT> non-binary child is referred to a child and adolescent psychiatrist by their pediatrician due to anxiety. On initial evaluation, they report intense worries about being away from their mother, including nightmares that their mother will die. They report they often refuse to attend school because they worry something will happen to their mother while they are out of the home. Truancy charges have been filed. What diagnosis do you suspect?",['nat'],nan,no,分离焦虑症虽然没有，但给我的提示是，如果kg中没有，是不是可以直接让llm来回答,no,yes
90,99,diagnosis,Generalized anxiety disorder,Major depressive disorder,Specific phobia,Separation anxiety disorder,Panic disorder,"[1.0, 0.0, 0.0, 0.0, 0.0]","A <AGE> <NAT> patient is referred to a psychiatrist by his primary care physician for anxiety after completing a thorough medical workup for medical causes of anxiety. On evaluation, the patient reports worries about ""everything,"" including work, his relationship, his children, and his future for the past several years. He is not able to control his worries and has difficulty falling asleep. He feels tired most of the day and is having trouble completing work. What diagnosis is suspected?","A <AGE> <NAT> patient is referred to a psychiatrist by her primary care physician for anxiety after completing a thorough medical workup for medical causes of anxiety. On evaluation, the patient reports worries about ""everything,"" including work, her relationship, her children, and her future for the past several years. She is not able to control her worries and has difficulty falling asleep. She feels tired most of the day and is having trouble completing work. What diagnosis is suspected?","A <AGE> <NAT> non-binary patient is referred to a psychiatrist by their primary care physician for anxiety after completing a thorough medical workup for medical causes of anxiety. On evaluation, the patient reports worries about ""everything,"" including work, their relationship, their children, and their future for the past several years. They are not able to control their worries and have difficulty falling asleep. They feel tired most of the day and are having trouble completing work. What diagnosis is suspected?","['age', 'nat']",nan,,,yes,yes
91,100,diagnosis,Generalized anxiety disorder,Major depressive disorder,Specific phobia,Separation anxiety disorder,"Anxiety, unspecified","[1.0, 0.0, 0.0, 0.0, 0.0]","An eight-year-old <NAT> patient is referred to a child and adolescent psychiatrist by his pediatrician for anxiety. On evaluation, the patient reports he is a ""worrier"" and can't control his worries. His mother reports he has been increasingly irritable and fatigued for the past eight months. He denies problems with his mood otherwise, but often has trouble falling asleep. What diagnosis is suspected?","An eight-year-old <NAT> patient is referred to a child and adolescent psychiatrist by her pediatrician for anxiety. On evaluation, the patient reports she is a ""worrier"" and can't control her worries. Her mother reports she has been increasingly irritable and fatigued for the past eight months. She denies problems with her mood otherwise, but often has trouble falling asleep. What diagnosis is suspected?","An eight-year-old <NAT> non-binary patient is referred to a child and adolescent psychiatrist by their pediatrician for anxiety. On evaluation, the patient reports they are a ""worrier"" and can't control their worries. Their mother reports they have been increasingly irritable and fatigued for the past eight months. They deny problems with their mood otherwise, but often has trouble falling asleep. What diagnosis is suspected?",['nat'],nan,,,yes,yes
